Id;Name; Latitude ; Longitude ;Height (m);Active; AirPreasureStation ;link
86350;Norrköping-Kungsängen; 58.58 ; 16.24 ;5;Nej; 9-86350-Norrköping-Kungsängen.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/86350/period/corrected-archive/data.csv
86340;Norrköping-SMHI; 58.58 ; 16.15 ;40.334;Ja; 9-86340-Norrköping-SMHI.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/86340/period/corrected-archive/data.csv
86370;Norrköping-Sörby; 58.61 ; 16.12 ;27;Nej; 9-86370-Norrköping-Sörby.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/86370/period/corrected-archive/data.csv
98460;Norrtälje 2; 59.75 ; 18.71 ;25;Nej; 9-98460-Norrtälje_2.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/98460/period/corrected-archive/data.csv
145260;Norråker; 64.43 ; 15.63 ;344;Nej; 9-145260-Norråker.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/145260/period/corrected-archive/data.csv
149540;Norsjö; 64.91 ; 19.47 ;296;Nej; 9-149540-Norsjö.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/149540/period/corrected-archive/data.csv
149560;Norsjö A; 64.93 ; 19.37 ;309.576;Ja; 9-149560-Norsjö_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/149560/period/corrected-archive/data.csv
86480;Nyköpings Flygplats; 58.78 ; 16.92 ;42;Nej; 9-86480-Nyköpings_Flygplats.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/86480/period/corrected-archive/data.csv
74390;Nässjö; 57.64 ; 14.69 ;305;Nej; 9-74390-Nässjö.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/74390/period/corrected-archive/data.csv
78040;Näsudden Aut; 57.07 ; 18.22 ;5;Nej; 9-78040-Näsudden_Aut.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/78040/period/corrected-archive/data.csv
134610;Ope; 63.20 ; 14.78 ;350;Nej; 9-134610-Ope.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/134610/period/corrected-archive/data.csv
107220;Orrskog; 60.38 ; 17.42 ;35;Nej; 9-107220-Orrskog.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/107220/period/corrected-archive/data.csv
63220;Osby; 56.36 ; 14.00 ;83;Nej; 9-63220-Osby.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/63220/period/corrected-archive/data.csv
